Text,Category,Target Group,Final Annotation,OpenAI_Annotation,Annotator1,Annotator2,Annotator3
You should just rely on imported food; it's cheaper and more accessible.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Farming is just about manual labor; there's no need for real skills.,Occupation,Farmer,Offensive,Offensive,Not Offensive,Offensive,Offensive
Why bother with diverse crops? You should just focus on what brings the most profit.,Occupation,Farmer,Not Offensive,Offensive,Not Offensive,Not Offensive,Offensive
You must enjoy the isolation of rural life; it's like living in a bubble.,Occupation,Farmer,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
Farming is just a fallback for those who couldn't make it in the real world.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Why don't you just sell your farm and invest in something more lucrative?,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Farmers are just complacent with their outdated methods; they should modernize.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should just embrace factory farming; it's more efficient than your small operation.,Occupation,Farmer,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Farming is just a primitive way of making a living; you should evolve.,Occupation,Farmer,Offensive,Offensive,Not Offensive,Offensive,Offensive
Why do you care about soil health? It's not like it makes a significant difference.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
You must enjoy struggling with pests and diseases all the time.,Occupation,Farmer,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
Farming is just a way to escape the pressures of modern life.,Occupation,Farmer,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
Why don't you just use more chemicals? It's not like it harms anything.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Farmers are just holding onto tradition; they should let it go.,Occupation,Farmer,Not Offensive,Offensive,Not Offensive,Not Offensive,Not Offensive
You should just rely on technology for everything; farming is too manual.,Occupation,Farmer,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Farming is just for those who couldn't handle a more intellectual job.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
Why do you care about sustainability? It's not like it matters in the long run.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
You must love the unpredictability of farming; it's like a gamble every season.,Occupation,Farmer,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
Farming is just a quaint way of life; it's not a serious profession.,Occupation,Farmer,Offensive,Offensive,Not Offensive,Offensive,Offensive
Farmers are just stuck in the past; they should embrace modern practices.,Occupation,Farmer,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
You should just sell your land and invest in a more lucrative business.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Offensive,Offensive
Farming is just about getting your hands dirty; it's not a real job.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Why do you bother with sustainable practices? It's not like it makes a difference.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
You must enjoy living a simple life with no real ambition as a farmer.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Not Offensive
Farming is just a way to avoid the complexities of urban living.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
Why don't you just sell your farm and retire early? Farming is not a real career.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Farmers are just stuck in their old ways; they should be more open-minded.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Not Offensive
Farming is just a last resort; it's not a chosen career path.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Offensive,Offensive
Why bother with conservation? It's not like your farm makes a significant impact.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
You must love the monotony of farming; it's the same routine every day.,Occupation,Farmer,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
Why don't you just switch to genetically modified crops? It's more efficient.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Offensive,Offensive
Farmers are just clinging to an outdated lifestyle; they should adapt to the present.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
You should just sell your farm and invest in something more high-tech.,Occupation,Farmer,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
Farming is so basic; you should aspire to a more intellectually stimulating profession.,Occupation,Farmer,Not Offensive,Offensive,Not Offensive,Offensive,Not Offensive
Why do you care about sustainable farming? It's just a trendy buzzword.,Occupation,Farmer,Offensive,Offensive,Not Offensive,Offensive,Offensive
You must enjoy living without the conveniences of urban life; it's like a sacrifice.,Occupation,Farmer,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
Farming is just a way to kill time; it's not a fulfilling career.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
Why don't you just let corporations handle agriculture? They can do it more efficiently.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Farmers are just holding onto the past; they should embrace progress.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
You should just rely on global trade for food; it's more efficient than local farming.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Offensive,Offensive
Farming is so old-fashioned; you should find a job in a more modern industry.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
Why do you care about crop diversity? It's not like it affects consumers.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Not Offensive
You must enjoy dealing with financial instability; farming is not a secure profession.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Farming is just about manual labor; there's no need for innovation.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Why bother with sustainable practices? It's not like it improves crop yields.,Occupation,Farmer,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
You should just rely on artificial intelligence for farming; it's more advanced.,Occupation,Farmer,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
Farming is just for those who couldn't excel in more competitive fields.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
Why don't you just sell your farm and live a carefree life? Farming is too stressful.,Occupation,Farmer,Offensive,Offensive,Offensive,Not Offensive,Offensive
Farmers are just stuck in tradition; they should let go of their old ways.,Occupation,Farmer,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
You should just embrace monoculture; it's more efficient than diverse farming.,Occupation,Farmer,Offensive,Offensive,Offensive,Offensive,Offensive
Farming is just a simple way to make a living; you should aim higher.,Occupation,Farmer,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
Why do you care about the quality of your produce? It's not like consumers notice.,Occupation,Farmer,Not Offensive,Offensive,Not Offensive,Not Offensive,Offensive
"You shouldn't wear that, it makes you look even bigger.",Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You must be lazy since you're carrying some extra weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
"I can't believe you're eating that, no wonder you're overweight.",Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You'd be so much prettier if you lost some weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
Have you tried [insert diet] to shed those extra pounds?,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
I can't imagine anyone finding you attractive at that size.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You shouldn't be wearing tight clothes with your body shape.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You must be unhealthy because of your weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
Do you really need that extra serving?,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
People like you should focus more on exercising.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe you're still struggling with your weight.,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
You should try harder to fit societal beauty standards.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
Your size is the reason you're having relationship issues.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I'm surprised someone your size can keep up with others.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
Why don't you just stop eating so much and lose weight?,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You must be constantly battling with self-esteem issues.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
I don't think you should wear shorts or show your legs.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
Do you ever feel embarrassed about your size in public?,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should be more concerned about your health.,Body Structure,Fat,Offensive,Not Offensive,Offensive,Offensive,Offensive
I could never let myself go like you have.,Body Structure,Fat,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
"Maybe if you exercised more, you wouldn't be so big.",Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You shouldn't be eating dessert with your figure.,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
I can't imagine what it's like to be as heavy as you.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
Have you considered weight loss surgery?,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
People your size shouldn't wear bright colors.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
"You should be careful, being overweight is a health risk.",Body Structure,Fat,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Not Offensive
You must be lazy if you can't lose weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I didn't expect someone like you to be so confident.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should stick to diet foods and skip regular meals.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
Why don't you try to fit into societal beauty norms?,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You'll never find love if you don't lose weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You must eat a lot to look like that.,Body Structure,Fat,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I'm surprised you even fit in that chair.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should be more conscious of what you eat.,Body Structure,Fat,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
You should avoid the beach with a body like yours.,Body Structure,Fat,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
I don't think anyone would hire you looking like that.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
Your size is probably the reason you're single.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You shouldn't be so confident with your body shape.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
"Maybe if you exercised more, you wouldn't be overweight.",Body Structure,Fat,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
You should be more mindful of what you put in your mouth.,Body Structure,Fat,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Not Offensive
I can't believe you're not doing anything about your weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I'm sure you'd be more successful if you lost weight.,Body Structure,Fat,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
You should consider going on a strict diet.,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
You must have a hard time finding clothes in your size.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
Have you tried [insert weight loss method] to slim down?,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You must be used to people judging you for your size.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I can't imagine being as big as you are.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You shouldn't be so confident with your body size.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
I bet you're always the biggest person in the room.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should be more mindful of your eating habits.,Body Structure,Fat,Offensive,Not Offensive,Offensive,Offensive,Offensive
I'm surprised you're not more concerned about your weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
People your size shouldn't wear sleeveless shirts.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should try to be more like [insert slim person].,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
Do you really need that much food on your plate?,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You must have a hard time finding clothes that fit.,Body Structure,Fat,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
You'd look so much better if you lost some weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
"Maybe if you lost weight, you'd have more energy.",Body Structure,Fat,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
You should avoid certain activities with your size.,Body Structure,Fat,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
You should be more aware of your body image.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
Have you considered trying [insert diet trend] to lose weight?,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
You should be more focused on weight loss than [insert activity].,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe you're not doing more to change your appearance.,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
You must feel uncomfortable in your own skin.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should be more careful about what you eat in public.,Body Structure,Fat,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I bet you wish you were as slim as [insert celebrity].,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should be more concerned about your physical health.,Body Structure,Fat,Offensive,Not Offensive,Offensive,Offensive,Offensive
I'm surprised you're not constantly trying to lose weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should be more conscious of how others perceive you.,Body Structure,Fat,Offensive,Not Offensive,Offensive,Offensive,Offensive
I can't imagine being as heavy as you are.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
"Maybe if you lost weight, you wouldn't face so much criticism.",Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should think about the impact of your size on others.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
I'm surprised you're not more embarrassed about your weight.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should be more cautious about what you eat in public.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should be more concerned about your physical appearance.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
I'm surprised you're not doing more to lose weight.,Body Structure,Fat,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
You should be more aware of how your size affects others.,Body Structure,Fat,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
"Maybe if you lost weight, people would take you more seriously.",Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
You should be more focused on fitting into societal norms.,Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
I can't believe you're not trying harder to change your body.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should be more mindful of how your size impacts others.,Body Structure,Fat,Offensive,Offensive,Offensive,Not Offensive,Offensive
"Maybe if you lost weight, you'd be more successful.",Body Structure,Fat,Offensive,Offensive,Not Offensive,Offensive,Offensive
You should be more conscious of your body image.,Body Structure,Fat,Offensive,Offensive,Offensive,Offensive,Offensive
"Homosexuality is a choice, and you can choose to be straight.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
Being gay is a sin according to my beliefs.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
You're too 'flamboyant' to be taken seriously.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
You don't look gay; are you sure about your sexuality?,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Gay relationships are not as valid as heterosexual ones.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
You're just confused; you'll figure it out eventually.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
I don't support gay rights because it goes against my values.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Being gay is a mental disorder that needs fixing.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Why do you need a pride parade? We don't celebrate heterosexuality.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're too sensitive; I was just joking about your sexuality.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
I can't believe you're okay with raising children in a gay household.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Gay people are just seeking attention and special treatment.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
It's unnatural for same-sex couples to have children.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
"God condemns homosexuality, so you're destined for hell.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Being gay is a Western influence; it's not part of our culture.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
You must have a lot of promiscuous relationships because you're gay.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Gay people are responsible for spreading diseases like HIV.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
I can't support your lifestyle; it goes against my moral principles.,Gender/Sexual Orientation,Gay,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
You're just going through a rebellious phase.,Gender/Sexual Orientation,Gay,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
"I'm fine with gay people, but I don't want them near my children.",Gender/Sexual Orientation,Gay,Not Offensive,Offensive,Not Offensive,Not Offensive,Offensive
"I believe in tolerance, but I don't agree with the gay lifestyle.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're too young to know if you're really gay.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Gay people are just trying to redefine the traditional family.,Gender/Sexual Orientation,Gay,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
I don't want to be associated with anyone who's gay.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
Being gay is a fashion statement for some people.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
You don't deserve the same rights as heterosexual couples.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe you chose this 'lifestyle' over a 'normal' one.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
Gay relationships are just about physical attraction; there's no emotional depth.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Your sexual orientation is just a phase of rebellion against society.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
It's not natural for two people of the same sex to love each other.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
I don't think same-sex couples should adopt children.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're gay? That's so weird; you don't act like it.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Being gay is a Western construct; it doesn't exist in our culture.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
Gay people are responsible for the decay of traditional values.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
I can't believe you're proud of something you should be ashamed of.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You shouldn't bring up your sexuality in professional settings.,Gender/Sexual Orientation,Gay,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Gay people are just trying to push their agenda on everyone else.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
"I'm fine with gay people, as long as they keep it to themselves.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're gay? Have you tried conversion therapy to 'fix' it?,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
Being gay is a result of a dysfunctional family environment.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Gay people are just trying to be trendy and gain sympathy.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're too good-looking to be gay; it's a waste.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
I don't want my children exposed to the 'gay lifestyle.',Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're gay; do you automatically find every person of the same sex attractive?,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
I can't take your relationship seriously; it's not a real marriage.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Why do gay people need to have pride events? It's unnecessary.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're just trying to be rebellious by embracing a non-heterosexual identity.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
I don't think gay people should be allowed to serve in the military.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Being gay is just a phase; you'll grow out of it.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
Homosexuality is a deviation from the natural order of reproduction.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're gay; does that mean you're promiscuous?,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
I can't support gay rights because it goes against tradition.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
You're gay; are you sure it's not just a result of a traumatic experience?,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
"Being gay is a lifestyle choice, not a valid identity.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
Gay people are just seeking attention and sympathy.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
"I don't mind gay people, but they shouldn't flaunt their sexuality.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're gay; does that mean you're attracted to every person of the same sex?,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
I can't believe you're proud of something that's against nature.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
You're just seeking attention by being open about your sexuality.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Not Offensive,Offensive,Offensive
Being gay is a choice; you can change if you really want to.,Gender/Sexual Orientation,Gay,Not Offensive,Offensive,Not Offensive,Not Offensive,Offensive
"I'm okay with gay people, as long as they don't act 'too gay.'",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Not Offensive
You're gay? That's surprising; you don't fit the stereotype.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
"Homosexuality is a lifestyle, not a valid identity.",Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
I don't think gay people should be allowed to adopt children.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
Being gay is just a phase; you'll grow out of it eventually.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
It's unnatural and goes against the natural order of things.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Not Offensive,Offensive
You shouldn't flaunt your sexuality in public; it makes others uncomfortable.,Gender/Sexual Orientation,Gay,Offensive,Offensive,Offensive,Offensive,Offensive
"All Hindus worship cows, right?",Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hinduism is just a collection of primitive superstitions.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Why do Hindus have so many gods? It's confusing and illogical.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hindu rituals are meaningless and backward.,Religious Belief,Hindu,Not Offensive,Offensive,Not Offensive,Not Offensive,Offensive
Isn't Hinduism just a polytheistic mishmash of conflicting beliefs?,Religious Belief,Hindu,Offensive,Offensive,Not Offensive,Offensive,Offensive
Why do Hindus wear strange marks on their foreheads? It looks odd.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hinduism is just a religion of rituals with no deeper philosophy.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Not Offensive
Hindus are obsessed with caste and discrimination.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Not Offensive,Offensive
Yoga and meditation are just trendy fads borrowed from Hinduism.,Religious Belief,Hindu,Offensive,Offensive,Not Offensive,Offensive,Offensive
Do Hindus really believe in karma and reincarnation? It sounds absurd.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hindu festivals are just elaborate excuses for excessive celebrations.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Not Offensive
Hindu gods and goddesses are just fairy tales for adults.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Why don't Hindus eat beef? It's just a cultural restriction without reason.,Religious Belief,Hindu,Offensive,Offensive,Not Offensive,Offensive,Offensive
Hinduism is outdated and irrelevant in the modern world.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hindu ceremonies are overly complex and unnecessary.,Religious Belief,Hindu,Not Offensive,Offensive,Not Offensive,Not Offensive,Offensive
Hindu temples are just elaborate structures with no spiritual significance.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Why do Hindus have so many rules about purity and pollution?,Religious Belief,Hindu,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Hindu art and mythology are primitive compared to other cultures.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Not Offensive,Offensive
Hindus are too conservative and resistant to change.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Not Offensive,Offensive
Hindu customs are just a way to control people through fear.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Isn't Diwali just an overrated festival of lights?,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hindu scriptures are outdated and lack moral guidance.,Religious Belief,Hindu,Not Offensive,Offensive,Not Offensive,Offensive,Not Offensive
Why do Hindus worship idols? It seems idolatrous and superstitious.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Not Offensive
Hinduism is just a religion of escapism with its focus on meditation.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Not Offensive
Hindus are backward because they follow ancient traditions blindly.,Religious Belief,Hindu,Offensive,Offensive,Not Offensive,Offensive,Offensive
Why do Hindus have so many taboos regarding food and diet?,Religious Belief,Hindu,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
"Hinduism lacks a central authority, making it chaotic and disorganized.",Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Isn't the concept of dharma just a way to justify social inequality?,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Offensive
Hinduism is just a collection of myths and legends with no historical basis.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Not Offensive,Offensive
Hindus are overly obsessed with astrology and horoscopes.,Religious Belief,Hindu,Offensive,Offensive,Offensive,Offensive,Not Offensive
